Account Type,Account Number,Transaction Date,Cheque Number,Description 1,Description 2,CAD$,USD$
,,11/1/2020,,SHELL 420 CH VANIER GATINEAU QC,,-150,
,,11/1/2020,,HYDRO BILL PMT,,-250,
,,11/1/2020,,VIDEOTRON LTEE. 110 PPACCMONTREAL QC,,-250,
,,11/1/2020,,KOODO MOBILE PAC EDMONTON AB,,-250,
,,11/1/2020,,PROVIGO GATINEAU ST JO GATINEAU QC,,-400,
,,11/1/2020,,DOMINO'S PIZZA #10717 613-799-1493 QC,,-200,
,,11/1/2020,,STARBUCKS #29392 OTTAWA ON,,-100,
,,11/1/2020,,Payment,,-900,
,,11/1/2020,,MONTHLY FEE,,-100,
,,11/1/2020,,STEAM,,-400,
,,11/1/2020,,APPLE.COM/BILL 866-712-7753 ON,,-200,
,,11/1/2020,,CINEPLEX,,-100,
,,11/1/2020,,JEAN COUTU #292 GATINEAU QC,,-300,
,,11/1/2020,,ALTITUDE GYM GATINEAU GATINEAU QC,,-200,
,,11/1/2020,,FIFTH AVENUE STUDIO COIFFGATINEAU QC,,-100,
,,11/1/2020,,WINNERS,,-100,
,,12/1/2020,,PAYROLL DEPOSIT,,5000,
,,12/1/2020,,CHEQUE - # 059,,-500,
,,12/1/2020,,INSURANCE,,-200,
,,12/1/2020,,LOAN,,-400,
,,12/1/2020,,AUTO INSURANCE,,-150,
,,12/1/2020,,SHELL 420 CH VANIER GATINEAU QC,,-150,
,,12/1/2020,,HYDRO BILL PMT,,-250,
,,12/1/2020,,VIDEOTRON LTEE. 110 PPACCMONTREAL QC,,-250,
,,12/1/2020,,KOODO MOBILE PAC EDMONTON AB,,-250,
,,12/1/2020,,PROVIGO GATINEAU ST JO GATINEAU QC,,-400,
,,12/1/2020,,DOMINO'S PIZZA #10717 613-799-1493 QC,,-200,
,,12/1/2020,,STARBUCKS #29392 OTTAWA ON,,-100,
,,12/1/2020,,Payment,,-900,
,,12/1/2020,,MONTHLY FEE,,-100,
,,12/1/2020,,STEAM,,-400,
,,12/1/2020,,APPLE.COM/BILL 866-712-7753 ON,,-200,
,,12/1/2020,,CINEPLEX,,-100,
,,12/1/2020,,JEAN COUTU #292 GATINEAU QC,,-300,
,,12/1/2020,,ALTITUDE GYM GATINEAU GATINEAU QC,,-200,
,,12/1/2020,,FIFTH AVENUE STUDIO COIFFGATINEAU QC,,-100,
,,12/1/2020,,WINNERS,,-100,
